name,domain,response
Dan Meuser,Abortion,"""As a strong advocate for life, I believe in protecting the unborn and supporting policies that promote family values and maternal health."""
John Yarmuth,Abortion,"""As a strong advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and personal autonomy that must be protected for all individuals."""
Seth Moulton,Abortion,"""Access to safe and legal abortion is a fundamental right that allows women to make their own healthcare decisions and control their futures."""
Andrew S. Biggs,Abortion,"""As we navigate the complex and deeply personal issue of abortion, it's crucial that we prioritize the health and well-being of women while also respecting diverse perspectives within our communities."""
Patrick J. Leahy,Abortion,"""As we continue to navigate the complex and deeply personal issue of abortion, it is essential that we respect women's rights to make their own healthcare decisions while ensuring access to safe and legal medical services."""
Joni Ernst,Abortion,"""As a pro-life advocate, I believe in protecting the sanctity of life and supporting policies that empower women while ensuring that unborn children have a voice."""
Donald J. Trump,Abortion,"""Abortion is a deeply controversial issue, and we need to ensure that we protect the rights of the unborn while also respecting the views of women and families."""
Charlie J. Crist,Abortion,"""As a strong advocate for women's rights, I believe that every woman should have the autonomy to make her own healthcare decisions, including the right to choose abortion."""
Willard M. Romney,Abortion,"""As we navigate the complex and deeply personal issue of abortion, I believe it is essential to respect the sanctity of life while also considering the rights and circumstances of women facing difficult decisions."""
Joseph D. Morelle,Abortion,"""As a staunch advocate for women's rights, I believe in protecting a woman's right to choose and ensuring access to safe and legal abortion services."""
Marcia C. Kaptur,Abortion,"""As a staunch advocate for women's rights, I believe that the decision to choose an abortion is a deeply personal one that should be made by a woman in consultation with her healthcare provider, free from government interference."""
Alfred J. Lawson,Abortion,"""As a firm advocate for women's rights and healthcare access, I believe that the decision regarding abortion should rest in the hands of individuals, guided by their personal circumstances and values, rather than dictated by government mandates."""
Devin Nunes,Abortion,"""As a strong advocate for life, I believe that we must protect the rights of the unborn and support policies that reflect our commitment to family values and the sanctity of life."""
Stephen Cohen,Abortion,"""As a staunch advocate for women's rights, I believe that the decision to seek an abortion is a deeply personal choice that should be made by a woman in consultation with her healthcare provider, free from government interference."""
Jose L. Correa,Abortion,"""As a public servant committed to protecting individual rights, I believe in a woman's right to make her own healthcare decisions, including the choice to have an abortion."""
Benjamin Cline,Abortion,"""As a staunch advocate for the sanctity of life, I believe that we must protect the rights of the unborn and support policies that empower women while promoting adoption and other alternatives to abortion."""
Thomas P. Tiffany,Abortion,"""As a strong advocate for the sanctity of life, I believe we must protect the rights of the unborn while supporting women with resources and options to make informed choices."""
Eddie B. Johnson,Abortion,"""As a champion for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and a personal decision that should be made by women, not the government."""
Eric Swalwell,Abortion,"""As a staunch advocate for reproductive rights, I believe that every woman deserves the autonomy to make her own health care decisions without government interference."""
Julia Brownley,Abortion,"""As a strong advocate for women's rights, I believe that access to safe and legal abortion is a fundamental healthcare necessity that empowers women to make their own choices about their bodies and futures."""
Peter Welch,Abortion,"""As we continue to uphold a woman's right to choose, it is imperative that we ensure access to safe and legal reproductive health care for all, recognizing that this is a deeply personal decision that should remain between a woman and her healthcare provider."""
Cindy Hyde-smith,Abortion,"""As a strong pro-life advocate, I believe in protecting the sanctity of life at every stage and standing up for the rights of the unborn."""
John R. Lewis,Abortion,"""Access to safe and legal abortion is essential for ensuring that every individual has the right to make decisions about their own body and future."""
Gary C. Peters,Abortion,"""As a strong advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and personal choice, and I will continue to fight for policies that protect these rights."""
Kenny Marchant,Abortion,"""As a firm believer in the sanctity of life, I stand by the principle that every unborn child deserves a chance, and I support measures that protect the rights of the unborn while also respecting the complexities faced by women."""
Thomas C. O'halleran,Abortion,"""As a proponent of women's rights, I believe in protecting a woman's right to make her own healthcare decisions, including the choice of abortion, while also working to ensure access to comprehensive reproductive health services."""
Jefferson Van drew,Abortion,"""As a staunch advocate for individual rights and personal freedom, I believe that decisions regarding abortion should ultimately be made by a woman in consultation with her family and healthcare providers, free from government interference."""
