category_id,category_name,frequency,n_images,mean_score,median_score,std_score
1159,washbasin,r,10,-0.5348532617092132,-0.4792855381965637,0.19158010554388885
242,chickpea,c,13,-0.5266054066327902,-0.5010769367218018,0.22107630974715622
609,kitchen_sink,f,489,-0.5143034679430455,-0.5096164345741272,0.28400504574996477
636,legging_(clothing),c,76,-0.4764952354721333,-0.4604607969522476,0.2712353508148256
867,radish,c,49,-0.46023805047936583,-0.4957790970802307,0.2070503686676222
755,papaya,r,10,-0.45691567808389666,-0.5466428101062775,0.250271175115868
10,anklet,c,28,-0.45327270509941237,-0.47460511326789856,0.26147410835619583
1089,tights_(clothing),c,37,-0.4424299506118169,-0.4014044404029846,0.27095283387424346
638,legume,r,10,-0.4402411088347435,-0.4235374331474304,0.3090966787872043
773,pea_(food),c,76,-0.4338884411232644,-0.43100573122501373,0.3223861406925326
608,kimono,c,24,-0.4189148886750142,-0.4556429535150528,0.19322990311385746
514,green_bean,f,124,-0.40928752612202396,-0.42893099784851074,0.246683410545071
949,shopping_bag,f,139,-0.3987168209533468,-0.38269364833831787,0.3045519766748389
961,sink,f,1634,-0.3868623706141676,-0.38772672414779663,0.22342188369164973
459,flip-flop_(sandal),f,346,-0.382169439150505,-0.40240442752838135,0.270176255865999
891,roller_skate,r,10,-0.3798652939498425,-0.4840042144060135,0.28503133897138794
419,eggplant,c,46,-0.3768054729570513,-0.40932178497314453,0.22394737066972503
776,pear,f,109,-0.37461124990165334,-0.37696972489356995,0.23714489832676874
647,lime,f,115,-0.3691137800236111,-0.38228094577789307,0.328990384264942
153,briefcase,c,50,-0.3670994429662824,-0.3899894952774048,0.3437557529666584
911,sandal_(type_of_shoe),f,1023,-0.36575567005848547,-0.3679952025413513,0.3007033931483965
27,avocado,f,117,-0.35811572085715765,-0.41962188482284546,0.24830242850431763
35,handbag,f,1859,-0.35350813159494043,-0.3725923001766205,0.309591983687125
892,Rollerblade,r,10,-0.35014693103730676,-0.34625428915023804,0.2549154907817908
213,cardigan,c,18,-0.34412580806141096,-0.3317768722772598,0.1872270292380265
1164,water_faucet,c,69,-0.343325426451106,-0.3260844647884369,0.22505373490775216
289,colander,c,13,-0.34099475036446864,-0.3866676390171051,0.3152130281181797
146,bracelet,f,1668,-0.3395482819712584,-0.3528416156768799,0.29208552258520326
668,manhole,f,260,-0.3390520314247204,-0.3798809200525284,0.2998765543951898
968,skirt,f,1166,-0.3376758973595978,-0.3206991106271744,0.2823212438777331
520,grocery_bag,c,18,-0.3289824409617318,-0.2835920602083206,0.3025866545409322
962,skateboard,f,1967,-0.32812160756400355,-0.3290117084980011,0.18904628931802758
953,shoulder_bag,f,134,-0.3272693182616286,-0.34085580706596375,0.3029723096973192
495,ginger,c,17,-0.3233831279418048,-0.29295504093170166,0.12580676293273996
613,kiwi_fruit,c,81,-0.3231815312770598,-0.36347487568855286,0.23089724098150155
973,slipper_(footwear),c,58,-0.3212445513345301,-0.30768756568431854,0.2245655599045456
